date,total_assets,share_price,fee_amount,apy,yield_earned,asset_symbol,vault_address,markets,deposits,withdraws
2025-10-23,0.0,0.0,0.0,0.0,0.0,WETH,0xd564F765F9aD3E7d2d6cA782100795a885e8e7C8,ETH-Morpho,0.0,0.0
2025-10-24,0.0,0.0,0.0,0.0,0.0,WETH,0xd564F765F9aD3E7d2d6cA782100795a885e8e7C8,ETH-Morpho,0.0,0.0
2025-10-25,0.0,0.0,0.0,0.0,0.0,WETH,0xd564F765F9aD3E7d2d6cA782100795a885e8e7C8,ETH-Morpho,0.0,0.0
2025-10-26,0.0,0.0,0.0,0.0,0.0,WETH,0xd564F765F9aD3E7d2d6cA782100795a885e8e7C8,ETH-Morpho,0.0,0.0
2025-10-27,0.0,0.0,0.0,0.0,0.0,WETH,0xd564F765F9aD3E7d2d6cA782100795a885e8e7C8,ETH-Morpho,0.005,0.0
2025-10-28,0.005,1.0,0.0,0.0,0.0,WETH,0xd564F765F9aD3E7d2d6cA782100795a885e8e7C8,ETH-Morpho,121.14805355061448,0.0
2025-10-29,121.15923949078838,1.0000510588878495,0.0,0.018810752654124,0.0061859401738827,WETH,0xd564F765F9aD3E7d2d6cA782100795a885e8e7C8,ETH-Morpho,0.0,0.0
2025-10-30,121.17424016490638,1.0001748747858266,0.0,0.04622421578617601,0.015000674118022918,WETH,0xd564F765F9aD3E7d2d6cA782100795a885e8e7C8,ETH-Morpho,132.728545790922,0.0
2025-10-31,253.9241027322795,1.0002676761061247,0.0,0.03444493527799427,0.023558186025538493,WETH,0xd564F765F9aD3E7d2d6cA782100795a885e8e7C8,ETH-Morpho,0.0,0.0
