date,vault_name,vault_address,underlying_token,daily_apy_pct
2025-09-24,kpk EURC Yield,0x0c6aec603d48eBf1cECc7b247a2c3DA08b398DC1,EURC,7.440993444535798
2025-09-25,kpk EURC Yield,0x0c6aec603d48eBf1cECc7b247a2c3DA08b398DC1,EURC,9.374066621951629
2025-09-26,kpk EURC Yield,0x0c6aec603d48eBf1cECc7b247a2c3DA08b398DC1,EURC,7.086072531252458
2025-09-27,kpk EURC Yield,0x0c6aec603d48eBf1cECc7b247a2c3DA08b398DC1,EURC,7.5143942027469555
2025-09-28,kpk EURC Yield,0x0c6aec603d48eBf1cECc7b247a2c3DA08b398DC1,EURC,5.920273529286569
2025-09-29,kpk EURC Yield,0x0c6aec603d48eBf1cECc7b247a2c3DA08b398DC1,EURC,5.919313685493765
2025-09-30,kpk EURC Yield,0x0c6aec603d48eBf1cECc7b247a2c3DA08b398DC1,EURC,5.725818347041295
2025-10-01,kpk EURC Yield,0x0c6aec603d48eBf1cECc7b247a2c3DA08b398DC1,EURC,5.795488535726513
2025-10-02,kpk EURC Yield,0x0c6aec603d48eBf1cECc7b247a2c3DA08b398DC1,EURC,6.154333429785039
2025-10-03,kpk EURC Yield,0x0c6aec603d48eBf1cECc7b247a2c3DA08b398DC1,EURC,5.553278081860636
2025-10-04,kpk EURC Yield,0x0c6aec603d48eBf1cECc7b247a2c3DA08b398DC1,EURC,5.407285736471354
2025-10-05,kpk EURC Yield,0x0c6aec603d48eBf1cECc7b247a2c3DA08b398DC1,EURC,5.952991786009097
2025-10-06,kpk EURC Yield,0x0c6aec603d48eBf1cECc7b247a2c3DA08b398DC1,EURC,3.994597032860256
2025-10-07,kpk EURC Yield,0x0c6aec603d48eBf1cECc7b247a2c3DA08b398DC1,EURC,6.129100608728491
2025-10-08,kpk EURC Yield,0x0c6aec603d48eBf1cECc7b247a2c3DA08b398DC1,EURC,10.68469743782031
2025-10-09,kpk EURC Yield,0x0c6aec603d48eBf1cECc7b247a2c3DA08b398DC1,EURC,4.233242092805722
2025-10-10,kpk EURC Yield,0x0c6aec603d48eBf1cECc7b247a2c3DA08b398DC1,EURC,4.7977637848125365
2025-10-11,kpk EURC Yield,0x0c6aec603d48eBf1cECc7b247a2c3DA08b398DC1,EURC,4.489143578008675
2025-10-12,kpk EURC Yield,0x0c6aec603d48eBf1cECc7b247a2c3DA08b398DC1,EURC,4.411190709217944
